id,source_x,source_y,reference_x,reference_y,refined_ref_x,refined_ref_y,subpixel_dx,subpixel_dy,confidence,is_inlier,grid_cell_x,grid_cell_y,residual_px
106,282.0,355.0,265.0,364.0,263.90776780992746,363.99018087796867,-1.0922321900725365,-0.009819122031331062,0.37597320372063575,True,5,7,0.15148687362670898
6,308.0,375.0,290.0,385.0,289.16155031323433,385.07720182836056,-0.8384496867656708,0.07720182836055756,0.3064202356847909,True,5,7,0.10717113316059113
0,306.0,352.0,288.0,362.0,288.0019710646011,361.93264193087816,0.0019710646010935307,-0.06735806912183762,0.294215930012126,True,5,7,0.0698925331234932
205,314.0,387.0,295.0,397.0,294.96541218087077,397.0317253805697,-0.03458781912922859,0.031725380569696426,0.2596492819531759,True,5,7,0.24449175596237183
1,75.0,153.0,64.0,155.0,64.0808144658804,155.03931088373065,0.08081446588039398,0.03931088373064995,0.2734662430648711,True,1,3,0.08746154606342316
295,105.0,190.0,92.0,194.0,92.90118198096752,192.94992827996612,0.9011819809675217,-1.050071720033884,0.09510257694566135,True,1,3,0.09560169279575348
47,354.0,92.0,345.0,104.0,345.02172537148,103.97512422129512,0.021725371479988098,-0.024875778704881668,0.2663681334792275,True,6,2,0.24548213183879852
2,319.0,124.0,308.0,134.0,308.9274455755949,134.57183000445366,0.927445575594902,0.5718300044536591,0.25262818772825957,True,6,2,0.138539120554924
110,330.0,127.0,321.0,137.0,320.0116238836199,137.88488587737083,-0.9883761163800955,0.8848858773708344,0.20387560025900242,True,6,2,0.07327720522880554
201,338.0,114.0,329.0,124.0,328.5224094390869,124.87914773076773,-0.47759056091308594,0.8791477307677269,0.13419943603464846,False,6,2,0.0
189,291.0,436.0,270.0,445.0,270.6555241346359,444.91564106941223,0.6555241346359253,-0.08435893058776855,0.38641935526433047,True,5,8,0.755099356174469
3,278.0,443.0,259.0,450.0,256.9816056024283,451.95002065971494,-2.018394397571683,1.9500206597149372,0.2851575642420496,True,5,8,0.11631182581186295
143,322.0,439.0,300.0,450.0,300.3741503059864,450.0866374671459,0.3741503059864044,0.0866374671459198,0.22551156470572187,True,5,8,0.8499920964241028
31,323.0,410.0,303.0,420.0,302.17280727624893,420.93366473168135,-0.8271927237510681,0.9336647316813469,0.1895003845067644,True,5,8,0.934596598148346
4,377.0,276.0,362.0,288.0,361.86872209608555,288.350434422493,-0.1312779039144516,0.35043442249298096,0.3216261502038917,True,7,5,0.1991276741027832
70,397.0,279.0,382.0,292.0,381.8223938345909,292.08747758716345,-0.17760616540908813,0.08747758716344833,0.2936464061958511,False,7,5,0.0
304,378.0,257.0,364.0,268.0,363.35464084148407,269.49253329634666,-0.6453591585159302,1.4925332963466644,0.291131029412162,False,7,5,0.0
274,413.0,259.0,398.0,272.0,398.2012422680855,272.91327695548534,0.20124226808547974,0.9132769554853439,0.2600859346319369,True,7,5,0.21968552470207214
40,201.0,162.0,190.0,168.0,190.01682963967323,168.09019818156958,0.016829639673233032,0.09019818156957626,0.4914299434649253,False,3,3,0.0
263,190.0,177.0,178.0,182.0,178.2478483170271,183.19995357096195,0.24784831702709198,1.1999535709619522,0.348143808809029,False,3,3,0.0
217,183.0,198.0,171.0,204.0,170.99141521099955,203.34132730960846,-0.008584789000451565,-0.6586726903915405,0.24490486170452339,True,3,3,0.603473424911499
46,197.0,196.0,184.0,202.0,184.7331941127777,202.08559846878052,0.73319411277771,0.08559846878051758,0.23846142505752224,True,3,3,0.1909422129392624
